,,,"Mar
",,April,,May,,Jun,,July,,Aug,,Sept,,"Oct
",,Nov,,Dec,,Jan,
Tasks,Start,End,15,30,15,30,15,30,15,30,15,30,15,30,15,30,15,30,15,30,15,30,15,30
MVC,Feb-27,Jun-29,x,x,x,x,x,x,x,d,,,,,,,,,,,,,,
UI,Feb-27,Apr-28,"x
",x,x,x,d,,,,,,,,,,,,,,,,,
UI,Feb-27,Apr-14,-,-,-,,,,,,,,,,,,,,,,,,,
UI Test,Apr-17,Apr-21,,,,-,,,,,,,,,,,,,,,,,,
UI Iteration,Apr-24,Apr-28,,,,,-,,,,,,,,,,,,,,,,,
Development,Apr-3,Jun-29,,,"x
",x,x,x,x,d,,,,,,,,,,,,,,
Development,Apr-3,Jun-30,,,-,-,-,"-
",-,-,,,,,,,,,,,,,,
User Enganging & Tracking,Feb-27,Jun-29,x,x,"x
",x,x,x,x,d,,,,,,,,,,,,,,
Alpha User Research,Mar-4,Jul-4,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
Metric Track,Mar-5,Jul-5,,,,,,-,-,-,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Product Development,Jul-3,Feb-2,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,xx,x,d
Developing,10 Week,~40%,,,,,,,,,-,-,-,-,-,,,,,,,,,
Testing,12 Week,~50%,,,,,,,,,,,,,,-,-,-,-,-,-,,,
Operational,6 Week,~20%,,,,,,,,,,,,,,,,,,,,-,-,-
Beta Mirroring,,Sep-15,,,,,,,,,,,,,d,,,,,,,,,
Beta Transition,,Nov-2,,,,,,,,,,,,,,,,d,,,,,,
Open Beta,,Nov-30,,,,,,,,,,,,,,,,,,,d,,,
"
",,,,,,,,,,,,,,,,,,,,,,,,
Release,,Feb-2,,,,,,,,,,,,,,,,,,,,,,d
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,d,deadline,d,,,,,,,,,,,,,,,,,,,,,
,-,to do,-,,,,,,,,,,,,,,,,,,,,,
,x,phase,x,,,,,,,,,,,,,,,,,,,,,
